 Settings Channel 1
++++++++++++++++++++ 
  
Noise threshold : 5000
Integration time : 30
Measurement interval (s): 1
Log interval : 1
 
 Measurements Channel 1
 ++++++++++++++++++++ 
  
TimeStamp	Wavelength1	 Power1	Wavelength2	 Power2	Wavelength3	 Power3	Wavelength4	 Power4	Wavelength5	 Power5	Wavelength6	 Power6	Wavelength7	 Power7	Wavelength8	 Power8	Wavelength9	 Power9	Wavelength10	 Power10	
4/15/2015 20:22:57.906	1522.126	15128	1531.298	19389	1532.564	25429	1538.550	29533	1543.126	28942	1551.540	38265	1555.726	37843	1568.757	44538	1571.364	47381	1575.237	44974
4/15/2015 20:22:59.140	1522.126	15199	1531.300	19761	1532.564	25440	1538.550	29441	1543.126	28839	1551.540	38219	1555.726	37724	1568.757	44569	1571.361	47157	1575.237	44802
4/15/2015 20:23:00.359	1522.127	15256	1531.301	20011	1532.565	25500	1538.550	29494	1543.126	28830	1551.539	38229	1555.726	37808	1568.757	44445	1571.359	46891	1575.237	44842
4/15/2015 20:23:01.578	1522.127	15174	1531.301	19859	1532.565	25524	1538.550	29539	1543.126	28800	1551.539	38133	1555.726	37750	1568.757	44502	1571.360	47020	1575.237	44960
4/15/2015 20:23:02.781	1522.126	15130	1531.300	19649	1532.564	25412	1538.549	29538	1543.126	28906	1551.539	38302	1555.726	37799	1568.757	44547	1571.361	47155	1575.237	44863
4/15/2015 20:23:04.000	1522.126	15116	1531.299	19531	1532.563	25314	1538.549	29534	1543.126	28813	1551.539	38234	1555.726	37894	1568.757	44427	1571.363	47325	1575.237	44881
4/15/2015 20:23:05.218	1522.126	15105	1531.299	19435	1532.564	25352	1538.549	29579	1543.126	28855	1551.539	38140	1555.727	37812	1568.757	44355	1571.363	47342	1575.237	44858
4/15/2015 20:23:06.437	1522.127	15198	1531.300	19701	1532.564	25402	1538.549	29664	1543.126	28739	1551.539	38102	1555.727	37903	1568.757	44514	1571.361	47170	1575.237	44896
4/15/2015 20:23:07.656	1522.126	15116	1531.301	19907	1532.565	25561	1538.550	29584	1543.126	28809	1551.539	38066	1555.727	37935	1568.757	44515	1571.359	46961	1575.237	44846
4/15/2015 20:23:08.859	1522.126	15153	1531.301	19857	1532.566	25463	1538.550	29476	1543.126	28809	1551.539	38068	1555.727	37946	1568.757	44586	1571.360	46981	1575.237	44992
4/15/2015 20:23:10.078	1522.126	15112	1531.300	19711	1532.565	25419	1538.549	29532	1543.126	28846	1551.539	38060	1555.727	37953	1568.757	44541	1571.361	47171	1575.237	44927
4/15/2015 20:23:11.296	1522.126	15131	1531.299	19481	1532.564	25415	1538.549	29587	1543.126	28828	1551.539	38148	1555.727	37911	1568.757	44604	1571.363	47314	1575.237	44926
4/15/2015 20:23:12.500	1522.128	15299	1531.300	19675	1532.563	25364	1538.548	29801	1543.126	28682	1551.539	38229	1555.727	38075	1568.757	44599	1571.361	47266	1575.237	44967
4/15/2015 20:23:13.718	1522.127	15160	1531.305	20590	1532.543	23332	1538.328	31095	1543.126	28855	1551.607	32301	1555.726	37852	1568.756	44509	1571.334	42192	1575.237	44952
4/15/2015 20:23:14.937	1522.129	15447	1531.315	22125	1532.559	25204	1538.316	29194	1543.126	28779	1551.670	32387	1555.728	38223	1568.758	44562	1571.261	40131	1575.237	44855
4/15/2015 20:23:16.156	1522.134	15812	1531.318	22689	1532.565	25500	1538.318	29568	1543.126	28883	1551.670	32238	1555.727	37980	1568.758	44541	1571.258	41397	1575.237	44886
4/15/2015 20:23:17.359	1522.130	15530	1531.313	21868	1532.552	24485	1538.311	28220	1543.126	28790	1551.672	32992	1555.727	38045	1568.758	44488	1571.263	39664	1575.237	44817
4/15/2015 20:23:18.578	1522.131	15648	1531.312	21747	1532.550	24332	1538.309	27809	1543.126	28840	1551.673	33258	1555.727	38125	1568.758	44566	1571.263	39421	1575.237	44940
4/15/2015 20:23:19.796	1522.135	15871	1531.316	22367	1532.557	24989	1538.312	28448	1543.126	28832	1551.671	32732	1555.727	38062	1568.757	44685	1571.260	40737	1575.237	44821
