 Settings Channel 1
++++++++++++++++++++ 
  
Noise threshold : 5000
Integration time : 30
Measurement interval (s): 1
Log interval : 1
 
 Measurements Channel 1
 ++++++++++++++++++++ 
  
TimeStamp	Wavelength1	 Power1	Wavelength2	 Power2	Wavelength3	 Power3	Wavelength4	 Power4	Wavelength5	 Power5	Wavelength6	 Power6	Wavelength7	 Power7	Wavelength8	 Power8	Wavelength9	 Power9	Wavelength10	 Power10	
4/15/2015 21:12:55.328	1522.849	14893	1527.286	21370	1534.175	23117	1538.728	30402	1543.135	29087	1551.894	39771	1556.287	42774	1568.310	40572	1570.846	37080	1575.231	43874
4/15/2015 21:12:56.546	1522.849	14969	1527.286	21346	1534.174	22998	1538.728	30384	1543.134	29175	1551.893	39817	1556.287	42816	1568.310	40511	1570.845	37024	1575.231	43972
4/15/2015 21:12:57.765	1522.848	14921	1527.286	21317	1534.175	23046	1538.727	30333	1543.134	29070	1551.894	39879	1556.286	42976	1568.310	40714	1570.846	37181	1575.231	44039
4/15/2015 21:12:58.984	1522.848	14897	1527.286	21373	1534.174	22985	1538.728	30398	1543.134	29079	1551.894	39815	1556.286	42882	1568.310	40558	1570.846	37042	1575.231	43924
4/15/2015 21:13:00.187	1522.848	14905	1527.286	21264	1534.174	22995	1538.727	30498	1543.135	29098	1551.894	39725	1556.286	42932	1568.310	40790	1570.846	37158	1575.231	44069
4/15/2015 21:13:01.406	1522.848	14879	1527.286	21299	1534.174	22973	1538.727	30433	1543.135	29169	1551.894	39826	1556.286	42912	1568.310	40701	1570.846	37044	1575.231	43940
4/15/2015 21:13:02.640	1522.849	14944	1527.286	21308	1534.174	23029	1538.727	30447	1543.134	29150	1551.894	39836	1556.286	42956	1568.310	40685	1570.846	37139	1575.231	44040
4/15/2015 21:13:03.843	1522.849	14894	1527.286	21369	1534.174	23111	1538.728	30439	1543.134	29135	1551.894	39828	1556.286	42894	1568.311	40386	1570.845	37009	1575.232	44148
4/15/2015 21:13:05.062	1522.849	14929	1527.286	21269	1534.174	22832	1538.727	30432	1543.134	29088	1551.894	39809	1556.287	42826	1568.310	40583	1570.845	36802	1575.232	44097
4/15/2015 21:13:06.281	1522.850	15096	1527.289	21314	1534.176	23267	1538.722	31187	1543.134	29115	1551.898	39835	1556.283	42824	1568.305	42409	1570.844	36523	1575.232	44156
4/15/2015 21:13:07.500	1523.029	16691	1527.310	20443	1534.072	23682	1538.715	31904	1543.134	29032	1551.904	39670	1556.310	42385	1568.279	47827	1570.545	41998	1575.238	44804
4/15/2015 21:13:08.718	1523.092	14360	1527.318	19847	1534.174	23027	1538.718	31582	1543.134	29179	1551.905	39726	1556.289	43145	1568.277	48246	1570.377	41611	1575.238	44962
4/15/2015 21:13:09.921	1523.091	14454	1527.309	20483	1534.174	22917	1538.721	31182	1543.134	29066	1551.900	39824	1556.288	43049	1568.291	46043	1570.381	42219	1575.236	44781
4/15/2015 21:13:11.140	1523.096	13826	1527.319	19623	1534.184	24486	1538.726	30684	1543.134	29148	1551.898	39902	1556.281	42644	1568.275	48424	1570.373	41257	1575.238	44888
4/15/2015 21:13:12.359	1523.170	14045	1527.320	19588	1534.186	24686	1538.728	30311	1543.134	29120	1551.895	39760	1556.278	42372	1568.275	48268	1570.373	41141	1575.237	44722
4/15/2015 21:13:13.578	1523.171	14244	1527.319	19663	1534.186	24572	1538.728	30360	1543.134	29114	1551.895	39785	1556.279	42518	1568.276	48229	1570.371	40829	1575.238	44826
4/15/2015 21:13:14.796	1523.171	14199	1527.320	19559	1534.186	24750	1538.729	30166	1543.134	29111	1551.895	39830	1556.279	42398	1568.275	48333	1570.370	40667	1575.238	44924
4/15/2015 21:13:16.000	1523.169	13873	1527.315	20005	1534.181	24039	1538.726	30630	1543.134	29168	1551.897	39763	1556.282	42702	1568.282	47547	1570.374	41305	1575.237	44814
4/15/2015 21:13:17.218	1523.169	13910	1527.316	19956	1534.182	24084	1538.726	30661	1543.134	29077	1551.898	39874	1556.283	42830	1568.280	47863	1570.373	41080	1575.238	44898
4/15/2015 21:13:18.437	1523.096	13779	1527.314	20151	1534.180	23846	1538.724	30892	1543.134	29083	1551.898	39896	1556.284	42808	1568.283	47661	1570.374	41281	1575.238	44936
4/15/2015 21:13:19.656	1523.170	14147	1527.316	19955	1534.176	23367	1538.724	30876	1543.134	29163	1551.899	39852	1556.288	42923	1568.280	47876	1570.370	40601	1575.238	44876
4/15/2015 21:13:20.875	1523.179	15423	1527.428	19432	1534.182	24170	1538.726	30733	1543.134	29075	1551.899	39811	1556.282	42767	1568.218	41885	1570.359	38495	1575.237	44779
4/15/2015 21:13:22.078	1523.369	16905	1527.662	21374	1534.234	26181	1538.743	27680	1543.135	28978	1551.893	39799	1556.251	38248	1567.881	38917	1570.188	37211	1575.241	45211
4/15/2015 21:13:23.296	1523.362	16462	1527.652	21810	1534.219	26762	1538.727	30576	1543.134	29155	1551.906	39524	1556.261	40086	1567.892	41932	1570.194	38584	1575.240	45133
4/15/2015 21:13:24.515	1523.364	16539	1527.654	21711	1534.219	26730	1538.726	30708	1543.134	29108	1551.906	39697	1556.261	40073	1567.889	41388	1570.193	38391	1575.241	45181
4/15/2015 21:13:25.734	1523.368	16834	1527.663	21351	1534.226	26576	1538.730	30127	1543.134	29019	1551.904	39632	1556.256	39255	1567.818	39343	1570.188	37230	1575.241	45255
4/15/2015 21:13:26.953	1523.360	16280	1527.652	21839	1534.217	26614	1538.727	30515	1543.134	29088	1551.906	39573	1556.262	40356	1567.892	41965	1570.196	39087	1575.241	45283
4/15/2015 21:13:28.171	1523.366	16704	1527.662	21423	1534.226	26590	1538.731	29880	1543.134	29056	1551.904	39644	1556.257	39247	1567.819	39056	1570.190	37661	1575.242	45180
4/15/2015 21:13:29.375	1523.363	16482	1527.655	21741	1534.219	26704	1538.728	30421	1543.134	29095	1551.906	39531	1556.261	40235	1567.888	41003	1570.194	38579	1575.242	45258
4/15/2015 21:13:30.609	1523.365	16646	1527.658	21623	1534.222	26595	1538.729	30235	1543.134	29137	1551.905	39666	1556.259	39960	1567.885	40249	1570.192	38187	1575.241	45355
4/15/2015 21:13:31.828	1523.365	16712	1527.660	21541	1534.222	26688	1538.729	30137	1543.134	29068	1551.905	39635	1556.259	39846	1567.883	39627	1570.191	37983	1575.242	45228
4/15/2015 21:13:33.046	1523.363	16519	1527.656	21722	1534.218	26755	1538.728	30419	1543.134	29140	1551.906	39509	1556.262	40273	1567.888	41032	1570.194	38653	1575.241	45372
4/15/2015 21:13:34.250	1523.367	16767	1527.662	21474	1534.223	26614	1538.730	29932	1543.134	29058	1551.905	39753	1556.258	39528	1567.881	38953	1570.190	37674	1575.241	45371
4/15/2015 21:13:35.468	1523.363	16501	1527.656	21639	1534.219	26639	1538.728	30319	1543.134	29008	1551.907	39497	1556.262	40191	1567.888	40879	1570.193	38425	1575.241	45140
4/15/2015 21:13:36.687	1523.365	16633	1527.659	21579	1534.222	26720	1538.730	30140	1543.134	28984	1551.906	39638	1556.260	39963	1567.884	39844	1570.192	38105	1575.241	45295
4/15/2015 21:13:37.890	1523.365	16630	1527.658	21606	1534.221	26699	1538.729	30155	1543.134	29092	1551.907	39597	1556.260	40004	1567.884	39919	1570.192	38160	1575.241	45138
4/15/2015 21:13:39.109	1523.365	16595	1527.657	21659	1534.219	26797	1538.729	30298	1543.134	29095	1551.907	39591	1556.261	40253	1567.886	40564	1570.192	38185	1575.241	45257
4/15/2015 21:13:40.328	1523.368	16904	1527.662	21519	1534.220	26770	1538.733	29578	1543.134	29110	1551.905	39780	1556.265	40814	1567.881	39082	1570.186	36762	1575.241	45312
4/15/2015 21:13:41.546	1523.377	17314	1527.779	17439	1534.376	26556	1538.745	27287	1543.134	29013	1551.898	39819	1556.130	42537	1567.771	47569	1570.192	38118	1575.242	45156
4/15/2015 21:13:42.765	1523.370	17039	1527.808	20958	1534.586	24838	1538.823	27573	1543.134	29046	1551.889	39768	1555.993	35723	1567.745	45621	1570.223	42712	1575.241	45205
4/15/2015 21:13:43.984	1523.368	16790	1527.803	20462	1534.560	27039	1538.822	27381	1543.134	29017	1551.889	39630	1556.077	38058	1567.749	46253	1570.222	42565	1575.242	45320
4/15/2015 21:13:45.203	1523.372	17095	1527.809	21020	1534.563	26915	1538.822	27284	1543.134	29070	1551.890	39718	1556.074	37473	1567.742	44932	1570.219	42394	1575.242	45363
4/15/2015 21:13:46.421	1523.372	17043	1527.811	21006	1534.563	26945	1538.822	27221	1543.134	28945	1551.890	39645	1556.074	37405	1567.741	44803	1570.218	42199	1575.242	45329
4/15/2015 21:13:47.640	1523.373	17120	1527.813	21179	1534.566	26797	1538.823	27617	1543.134	29001	1551.889	39567	1556.072	36933	1567.738	44357	1570.216	42019	1575.243	45457
4/15/2015 21:13:48.859	1523.371	17111	1527.811	21119	1534.565	26876	1538.822	27289	1543.134	29067	1551.890	39754	1556.073	37246	1567.741	44900	1570.218	42273	1575.243	45330
4/15/2015 21:13:50.062	1523.372	17092	1527.810	20970	1534.565	26864	1538.822	27170	1543.134	29086	1551.890	39602	1556.073	37090	1567.742	45073	1570.218	42198	1575.243	45335
4/15/2015 21:13:51.281	1523.371	17063	1527.809	20940	1534.563	26886	1538.821	27130	1543.134	29074	1551.890	39742	1556.074	37368	1567.743	45193	1570.219	42284	1575.243	45372
4/15/2015 21:13:52.500	1523.371	17052	1527.809	20957	1534.562	26930	1538.821	27026	1543.134	29190	1551.890	39683	1556.074	37553	1567.744	45287	1570.219	42550	1575.243	45436
4/15/2015 21:13:53.734	1523.372	17070	1527.812	21062	1534.566	26833	1538.822	27278	1543.134	29032	1551.890	39693	1556.072	36903	1567.740	44655	1570.217	42248	1575.244	45301
