 Settings Channel 2
++++++++++++++++++++ 
  
Noise threshold : 5000
Integration time : 30
Measurement interval (s): 1
Log interval : 1
 
 Measurements Channel 2
 ++++++++++++++++++++ 
  
TimeStamp	Wavelength1	 Power1	
4/15/2015 20:25:19.078	1522.155	21022
4/15/2015 20:25:20.296	1522.155	21040
4/15/2015 20:25:21.500	1522.155	21019
4/15/2015 20:25:22.718	1522.155	21050
4/15/2015 20:25:23.937	1522.155	20996
4/15/2015 20:25:25.140	1522.155	21007
4/15/2015 20:25:26.359	1522.155	20988
4/15/2015 20:25:27.578	1522.155	21021
4/15/2015 20:25:28.796	1522.155	21034
4/15/2015 20:25:30.000	1522.155	21051
4/15/2015 20:25:31.218	1522.155	21052
4/15/2015 20:25:32.437	1522.155	21080
4/15/2015 20:25:33.640	1522.155	21118
4/15/2015 20:25:34.859	1522.155	21028
4/15/2015 20:25:36.078	1522.155	20961
4/15/2015 20:25:37.296	1522.155	21024
4/15/2015 20:25:38.500	1522.155	21012
4/15/2015 20:25:39.718	1522.155	21066
4/15/2015 20:25:40.937	1522.155	21050
4/15/2015 20:25:42.156	1522.155	21016
4/15/2015 20:25:43.359	1522.155	21003
4/15/2015 20:25:44.578	1522.155	21018
4/15/2015 20:25:45.796	1522.155	21097
4/15/2015 20:25:47.000	1522.155	21037
4/15/2015 20:25:48.218	1522.155	20976
4/15/2015 20:25:49.437	1522.155	21053
4/15/2015 20:25:50.656	1522.155	21065
4/15/2015 20:25:51.859	1522.155	21095
4/15/2015 20:25:53.078	1522.155	21089
4/15/2015 20:25:54.296	1522.155	21083
4/15/2015 20:25:55.515	1522.155	21034
4/15/2015 20:25:56.718	1522.155	21033
4/15/2015 20:25:57.937	1522.155	21064
4/15/2015 20:25:59.156	1522.155	21046
4/15/2015 20:26:00.375	1522.155	21084
4/15/2015 20:26:01.593	1522.155	21033
4/15/2015 20:26:02.796	1522.155	21123
4/15/2015 20:26:04.015	1522.155	21043
4/15/2015 20:26:05.234	1522.155	20977
4/15/2015 20:26:06.437	1522.155	20983
4/15/2015 20:26:07.656	1522.155	21094
4/15/2015 20:26:08.875	1522.155	21101
4/15/2015 20:26:10.093	1522.155	21066
4/15/2015 20:26:11.296	1522.155	21029
4/15/2015 20:26:12.515	1522.155	21097
4/15/2015 20:26:13.734	1522.155	21061
4/15/2015 20:26:14.953	1522.154	21053
4/15/2015 20:26:16.171	1522.155	20968
4/15/2015 20:26:17.375	1522.155	21062
4/15/2015 20:26:18.593	1522.155	21064
4/15/2015 20:26:19.812	1522.155	21010
4/15/2015 20:26:21.031	1522.155	21069
4/15/2015 20:26:22.234	1522.154	21059
4/15/2015 20:26:23.453	1522.155	21063
4/15/2015 20:26:24.671	1522.155	21071
4/15/2015 20:26:25.875	1522.155	21052
4/15/2015 20:26:27.109	1522.155	21047
4/15/2015 20:26:28.328	1522.154	21023
4/15/2015 20:26:29.546	1522.155	21058
4/15/2015 20:26:30.750	1522.155	21048
4/15/2015 20:26:31.968	1522.155	21063
4/15/2015 20:26:33.187	1522.155	21144
4/15/2015 20:26:34.421	1522.155	21040
4/15/2015 20:26:35.625	1522.155	21066
4/15/2015 20:26:36.843	1522.155	21133
4/15/2015 20:26:38.062	1522.155	21073
4/15/2015 20:26:39.281	1522.155	21036
4/15/2015 20:26:40.484	1522.155	21048
4/15/2015 20:26:41.703	1522.155	21109
4/15/2015 20:26:42.921	1522.155	21093
4/15/2015 20:26:44.125	1522.155	21083
4/15/2015 20:26:45.343	1522.155	21074
4/15/2015 20:26:46.562	1522.155	21101
